0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1011,1245,1245,1303,1332,1339,1410,159,159,1619,1619,1799,1977,1977,2036,2083,2083,2240,2486,2486,2945,2945,2972,2996,2996,3200,3200,3374,3374,3648,3729,4293,4386,4386,4388,4418,4418,4499,4499,4550,4550,4550,4593,4944,5493,5690,5690,5690,5763,662,662,662,7243,7479,7479,7485,7737,8250,8283,8334
03-24-2022,03-24-2022,03-25-2022,03-24-2022,03-24-2022,03-17-2022,03-24-2022,03-24-2022,03-24-2022,03-16-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-23-2022,03-23-2022,03-24-2022,03-20-2022,03-25-2022,03-24-2022,03-17-2022,03-24-2022,03-22-2022,03-24-2022,03-20-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-25-2022,03-24-2022,03-20-2022,03-24-2022,03-17-2022,03-24-2022,03-20-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-20-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-25-2022,03-25-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022,03-24-2022
Meh,NG MEH,MH,NG MEH,CM MM NG MEH,JB MEH NG,Meh,MN,NG KG,JB,NG,NG MM JB,"Meh
",NG,NG JB,MN-JB,CM NG,NG MM,NG,NG,NG MM,MH,MH,JB,CM-MM,NG,Meh,NG,Meh,NG,MM JB,CM NG,MN-JB,MH,MN NG,NG,CM,JB,NG,NG,Meh NG,CM,Meh JB,MN NG,NG,NG,NG,CM-JB,,Meh NG,MH,,MN JB,NG,,DD,,MM NG,,MM NG
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True
Standard 6/8 wheel,Omni/Mecanum,Unknown ,Omni/Mecanum,Standard 6/8 wheel,Swerve ,Standard 6/8 wheel,Standard 6/8 wheel,Standard 6/8 wheel,Swerve ,Swerve ,Standard 6/8 wheel,Standard 6/8 wheel,Standard 6/8 wheel,Standard 6/8 wheel,Standard 6/8 wheel,Swerve ,Unknown ,Swerve ,Swerve ,Omni/Mecanum,Unknown ,Standard 6/8 wheel,Standard 6/8 wheel,Unknown ,Unknown ,Standard 6/8 wheel,Unknown ,Standard 6/8 wheel,Standard 6/8 wheel,Standard 6/8 wheel,Unknown ,Standard 6/8 wheel,Unknown ,Swerve ,Unknown ,Unknown ,Swerve ,Swerve ,Unknown ,Standard 6/8 wheel,Unknown ,Standard 6/8 wheel,Standard 6/8 wheel,Standard 6/8 wheel,Unknown ,Unknown ,Standard 6/8 wheel,Unknown ,Standard 6/8 wheel,Standard 6/8 wheel,Unknown ,Swerve ,Standard 6/8 wheel,Unknown ,Unknown ,Unknown ,Standard 6/8 wheel,Unknown ,Omni/Mecanum
Unknown ,1-Taxi only,3-Shoot + Taxi only (1 Cargo),Unknown ,1-Taxi only,5-More than 2 Cargo combination,4-Shoot + Taxi + Intake (2 Cargo max),3-Shoot + Taxi only (1 Cargo),1-Taxi only,5-More than 2 Cargo combination,5-More than 2 Cargo combination,0-No movement ,4-Shoot + Taxi + Intake (2 Cargo max),1-Taxi only,0-No movement ,0-No movement ,3-Shoot + Taxi only (1 Cargo),4-Shoot + Taxi + Intake (2 Cargo max),Unknown ,4-Shoot + Taxi + Intake (2 Cargo max),3-Shoot + Taxi only (1 Cargo),4-Shoot + Taxi + Intake (2 Cargo max),0-No movement ,3-Shoot + Taxi only (1 Cargo),2-Shoot preloaded cargo only,3-Shoot + Taxi only (1 Cargo),4-Shoot + Taxi + Intake (2 Cargo max),4-Shoot + Taxi + Intake (2 Cargo max),5-More than 2 Cargo combination,0-No movement ,4-Shoot + Taxi + Intake (2 Cargo max),3-Shoot + Taxi only (1 Cargo),1-Taxi only,1-Taxi only,0-No movement ,4-Shoot + Taxi + Intake (2 Cargo max),Unknown ,5-More than 2 Cargo combination,5-More than 2 Cargo combination,3-Shoot + Taxi only (1 Cargo),Unknown ,Unknown ,4-Shoot + Taxi + Intake (2 Cargo max),4-Shoot + Taxi + Intake (2 Cargo max),0-No movement ,4-Shoot + Taxi + Intake (2 Cargo max),3-Shoot + Taxi only (1 Cargo),5-More than 2 Cargo combination,Unknown ,4-Shoot + Taxi + Intake (2 Cargo max),3-Shoot + Taxi only (1 Cargo),Unknown ,0-No movement ,1-Taxi only,Unknown ,Unknown ,Unknown ,4-Shoot + Taxi + Intake (2 Cargo max),Unknown ,3-Shoot + Taxi only (1 Cargo)
,They got stuck on another robot during auto. (MEH) They say 2 Cargo but haven't tested.,,,Not sure they went far enough. (MEH) They say 1 Cargo shoot and taxi. They claim 18 with light defense.,"(NG) Saw 2 ball auto. Didn't shoot 2nd ball until after Autonomous.

4 Ball. They do have a 4 cargo auto but their timing is close on whether the last two make it during Autonomous period.",,,Didn't quite leave tarmac,Setup on the opposite side as the hangar in their Alliance's tarmac.,Shoot preloaded. Pick up and shoot 2. Pickup and shoot  ball by terminal and human player ball. I think 2 went in,(JB) Taxied on PM 23. ,Upper Hub,Looked like they were trying to shoot,Didn't move. Took awhile to start moving after teleop started,,Tried to pick up a second ball.,Usually miss the high hub. Not always successful picking up the second ball. ,Don't always pick up the second cargo. The balls don't go in very often.,Trying to pick up and shoot a third ball from the terminal.,Left tarmac,"Shot 2, made 1",,,,,,,4 ball auto,Trying to move,Shots were good.,,No movement ,,,"Shoot low, then taxi to pick up another ball, then come back against the hub to shoot that ball. In some matches they didn't get points for the taxi. Not sure why. ",Left tarmac,Opposite side of the hangar,"Shot 1, picked up and shot 2, tried to pick up the ball over by the terminal and missed. Got in position to shoot that ball.",Changed their auto routine to shoot into the low hub partway through quals.,,"Made high shot, backed away from tarmac",(JB) Missed both,,,Looked like they were working on picking up a third ball from the terminal and shooting it during auto. ,Drove around a lot in auto. Probably trying to pick up more balls,(JB) Goes back to Terminal to get balls,,Claimed. Not tested,Missed,,"(JB) Spun in place, no taxi in PM 25.",Didn't make it off the tarmac,,,,"Left tarmac
NG - neither shot went in. Second time got stuck with a ball in the intake on the field wall.",,"Drove backwards, didnt score "
Unknown ,Upper Hub only,Upper Hub only,Upper Hub only,Lower Hub only ,Upper Hub only,Lower Hub only ,Upper Hub only,Upper Hub only,Upper Hub only,Upper Hub only,Lower Hub only ,Anywhere,Upper Hub only,Upper Hub only,Unknown ,Lower Hub only ,Anywhere,Upper Hub only,Upper Hub only,Upper Hub only,Upper Hub only,Unknown ,Upper Hub only,Upper Hub only,Upper Hub only,Upper Hub only,Upper Hub only,Upper Hub only,Upper Hub only,Upper Hub only,Lower Hub only ,Upper Hub only,Upper Hub only,Anywhere,Lower Hub only ,Lower Hub only ,Upper Hub only,Upper Hub only,Upper Hub only,Anywhere,Upper Hub only,Upper Hub only,Lower Hub only ,Lower Hub only ,Upper Hub only,Upper Hub only,Upper Hub only,Unknown ,Lower Hub only ,Lower Hub only ,Upper Hub only,Upper Hub only,Lower Hub only ,Upper Hub only,Nowhere,Unknown ,Upper Hub only,Unknown ,Upper Hub only
,,Manual aim only,,"Shoots from right up against hub
NG - shooting from a little bit back from the hub, inside the tarmac tape","Must shoot from the base of the hub.

(NG) For every two balls shot one bounces out.",,,"Attempts take long time, don't stay in
Ball fell out of the intake a couple times.",They like the launchpad when heavily defended.  Otherwise typically just outside the tarmac.  They go to the opposite side of the field to gather cargo.,A little more than half of balls go in.  Intake is not reliable in PM 29.  They were chasing balls down after hitting them.,,Upper priority,,Intake not great. Average speed. ,(JB) Not sure what they were trying for upper or lower.  In between. Very hard time intaking balls.  Unable to shoot two at a time and looks like second ball gets stuck.,Intake wasn't working well.,"Usually can get one ball into the top, second often misses",,Half of shots went in.,Didn't make any successful shots,Misses most shots,Did not attempt one shot in Q1,They have to be against the base of the hub to shoot as their shot goes straight up.,Shoots close to hub,,More accurate. Faster cycles,,15-18 balls. Turret,Intake is slow. Targeting is extremely slow. Picked up 4 balls. Only shot 2.,10/14 on Upper. Includes 2 in autonomous.,NG - Not all shots go in,"Never shot in P14. Inexperienced drivers.  Robot is tips back-n-forth when driving.

(MEH) Very few shots in match 19. Appear to be Upper capable","Only shot 8, made 4-5",NG - Not targeting either hub well,Typically shoot from up against the hub.,Touching hub,Never say them shoot for the lower hub.,Shooting from close to the tarmac tape to inside the tarmac .,Did not pick up or shoot at all during teleop in AZ.,High is new,"Missed some, made most. Shoots from close to hub but not right up against it",9/14 made. Was able to reject opponent's ball but took time.,NG - Intake is poor. Delivery of balls to lower hub is fast and usually doesn't miss. ,,,About half their shots went in,,,Untested,,,(JB) Limelight having problems.  Didn't see them make a shot in PM 25.,Pick up balls from the terminal in a box and dump it in the lower hub. Need to be up against the hub,,,,"Not very reliable shooter
NG - not successful with any shots",,Didnt do much. Only collected one ball at a time.
