Team,count,mean upper attempts,mean upper % made,mean lower attempts,mean lower % made,max upper attempts,min upper attempts,max upper % made,min upper % made,max lower attempts,min lower attempts,max lower % made,min lower % made
159,11,4.3,0.3,0.2,0.0,10,0,1.0,0.0,1,0,0.0,0.0
662,9,0.1,0.0,2.1,0.8,1,0,0.0,0.0,5,0,1.0,0.0
1011,9,1.6,0.5,0.6,0.4,12,0,0.9,0.0,4,0,0.8,0.0
1245,8,2.1,inf,3.4,0.6,10,0,inf,0.0,9,0,1.0,0.0
1303,9,0.0,,0.2,0.0,0,0,,,1,0,0.0,0.0
1332,10,0.0,,7.1,0.9,0,0,,,11,2,1.0,0.6
1339,12,15.2,0.8,0.0,,20,0,1.0,0.0,0,0,,
1410,9,0.0,,5.7,1.0,0,0,,,12,1,1.0,0.7
1619,17,15.7,0.8,0.0,,26,0,0.9,0.6,0,0,,
1799,17,1.6,0.4,0.1,0.0,6,0,0.7,0.0,2,0,0.0,0.0
1977,9,1.6,0.2,2.9,0.6,5,0,0.8,0.0,10,0,1.0,0.0
2036,4,5.2,0.5,1.8,0.6,8,0,0.8,0.2,7,0,0.6,0.6
2083,6,0.0,,3.2,0.4,0,0,,,4,2,0.7,0.0
2240,13,7.9,0.5,0.6,0.8,13,1,1.0,0.0,8,0,0.8,0.8
2486,18,12.4,0.6,0.0,,23,0,1.4,0.2,0,0,,
2945,13,4.8,0.7,0.1,0.0,15,0,1.0,0.0,1,0,0.0,0.0
2972,8,0.9,0.4,0.4,0.2,3,0,1.0,0.0,2,0,0.5,0.0
2996,12,8.4,0.5,0.0,inf,15,0,0.9,0.0,0,0,inf,inf
3200,17,6.2,0.6,0.1,2.0,13,0,1.0,0.0,1,0,2.0,2.0
3374,13,12.5,0.8,0.0,inf,18,3,1.0,0.5,0,0,inf,inf
3648,7,7.1,0.2,0.1,inf,12,4,0.5,0.0,1,0,inf,0.0
3729,10,8.2,0.7,0.0,,12,1,1.0,0.3,0,0,,
4068,3,7.7,0.4,10.0,0.8,13,2,0.5,0.2,20,0,1.0,0.5
4293,9,0.0,,4.7,0.7,0,0,,,8,0,1.0,0.4
4386,9,4.0,0.5,0.0,,8,0,0.7,0.2,0,0,,
4388,10,3.4,0.7,0.1,1.0,14,0,1.0,0.0,1,0,1.0,1.0
4418,24,0.8,0.5,8.2,,14,0,1.0,0.0,15,0,inf,0.4
4499,12,13.2,0.7,0.0,,20,6,1.0,0.5,0,0,,
4550,20,0.8,0.3,0.6,0.6,8,0,1.0,0.0,3,0,1.0,0.0
4593,10,10.7,0.7,0.1,2.0,18,0,0.8,0.5,1,0,2.0,2.0
4944,6,0.0,,7.0,0.7,0,0,,,12,4,1.0,0.0
5493,8,0.4,0.5,3.6,0.8,2,0,1.0,0.0,7,0,1.0,0.6
5690,21,8.9,0.7,0.0,1.0,16,0,0.9,0.1,1,0,1.0,1.0
5763,7,0.0,,1.7,0.2,0,0,,,4,0,1.0,0.0
7243,6,1.8,0.4,0.2,0.0,4,0,0.8,0.0,1,0,0.0,0.0
7479,7,0.1,0.0,0.6,0.2,1,0,0.0,0.0,1,0,1.0,0.0
7485,9,0.2,0.0,0.0,,1,0,0.0,0.0,0,0,,
7737,7,0.0,,0.1,1.0,0,0,,,1,0,1.0,1.0
8250,9,5.3,0.6,0.4,0.2,12,0,1.0,0.2,1,0,1.0,0.0
8283,7,0.0,,0.4,1.0,0,0,,,3,0,1.0,1.0
8334,4,4.8,0.7,2.2,0.3,8,0,0.8,0.5,9,0,0.3,0.3
